ID,reg1,reg2,reg3,reg4,home,chld,hinc,genf,wrat,avhv,incm,inca,plow,npro,tgif,lgif,rgif,tdon,tlag,agif,donr,damt
1,0,0,1,0,1,1,4,1,8,302,76,82,0,20,81,81,19,17,6,21.05,0,0
2,0,0,1,0,1,2,4,0,8,262,130,130,1,95,156,16,17,19,3,13.26,1,15
6,0,1,0,0,1,1,5,0,9,114,17,25,44,83,131,5,3,13,4,4.12,1,12
10,0,0,0,0,1,3,4,1,7,200,38,58,5,42,63,12,10,19,3,9.42,0,0
12,0,0,0,1,1,3,4,1,6,272,69,69,0,98,169,29,36,23,7,8.97,1,17
13,0,1,0,0,1,0,4,0,9,207,54,54,14,13,34,9,7,19,11,6.28,1,12
17,1,0,0,0,1,1,4,0,9,138,19,41,25,92,201,12,10,8,7,11.15,1,13
19,1,0,0,0,1,0,4,1,1,278,79,83,0,87,89,29,16,16,6,8.14,1,12
24,0,0,0,1,1,4,6,1,5,141,32,37,21,65,79,5,5,21,6,3.69,0,0
26,0,0,0,0,1,2,3,1,1,224,55,66,6,134,437,14,14,19,8,9.37,0,0
30,1,0,0,0,1,1,5,1,9,282,69,87,0,62,70,16,11,22,10,11.61,1,18
34,0,1,0,0,1,2,5,0,8,263,40,67,4,76,105,24,21,13,10,19.43,0,0
38,1,0,0,0,1,1,4,0,9,204,79,79,2,59,94,9,8,13,3,5.2,1,13
40,0,1,0,0,1,2,3,1,2,93,29,31,18,94,136,9,4,38,7,5.19,0,0
44,0,1,0,0,1,0,3,1,6,284,43,82,4,14,40,14,7,12,5,9.8,1,15
46,1,0,0,0,1,2,4,1,3,163,36,44,9,50,74,9,5,16,11,6.3,0,0
51,0,0,0,0,1,0,7,0,8,324,75,78,0,90,177,6,7,21,5,8.04,1,14
52,0,1,0,0,1,2,3,0,9,167,73,73,2,34,63,10,6,20,5,8.77,1,11
55,0,0,0,1,1,0,4,1,8,158,38,38,22,55,80,20,20,14,3,10.22,1,16
56,0,0,0,0,1,2,5,1,6,427,78,114,0,78,131,9,4,24,6,6.13,1,13
57,1,0,0,0,1,1,4,1,7,124,41,41,12,24,56,53,56,13,4,22.5,1,17
58,0,0,0,0,1,3,4,1,8,172,34,55,15,62,73,24,21,19,7,12.32,0,0
61,1,0,0,0,1,2,7,0,8,81,14,26,41,89,103,5,6,12,16,3.54,0,0
65,0,0,1,0,1,2,4,1,9,281,38,64,3,96,305,53,17,17,7,22.13,1,15
66,1,0,0,0,1,4,1,0,8,179,41,54,10,58,75,28,30,15,4,20.02,0,0
70,0,1,0,0,1,0,1,0,6,404,112,112,0,19,38,12,13,16,3,9.23,1,13
71,0,0,0,0,1,0,4,1,9,105,29,34,30,39,52,25,26,13,6,17.01,1,16
73,0,1,0,0,1,2,4,1,8,216,23,64,26,79,132,19,14,13,6,13.42,1,15
76,1,0,0,0,1,0,4,0,9,118,32,34,22,109,111,15,13,16,11,7.29,1,15
